ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
BKCH,BKCH,0.0,10,bearish,4.04,0.64,0.29,-2.62,-12.7,-0.67,-0.4,-0.2,-0.09,,,30.0,,,30.0,,,30.0
BKGI,BKGI,3.7,10,bullish,1.89,-0.85,-0.34,-2.73,10.05,0.41,-1.61,-0.58,-0.68,,,9.0,,,9.0,,,9.0
BKIE,BKIE,4.0,10,bullish,3.26,0.0,-2.66,-7.59,-0.33,-1.76,-2.0,-1.07,-0.14,,,30.0,,,30.0,,,30.0
BLK,BLK,3.0,10,bullish,1.66,0.57,2.38,-9.92,-10.51,-1.13,-1.57,0.44,0.13,,,100.0,,,100.0,,,100.0
BLOK,BLOK,3.0,10,bullish,2.76,0.32,-1.4,-1.93,-12.07,-0.85,-0.4,-0.36,-0.07,,,38.0,,,38.0,,,38.0
BN,BN,3.6,10,bullish,3.54,0.93,-2.28,-11.95,-14.2,-1.54,-1.73,-0.51,0.17,,,100.0,,,100.0,,,100.0
BND,Total Bond,0.1,10,bullish,0.56,-0.14,-0.42,-1.8,-0.6,-1.06,-2.0,-0.61,-0.25,,,71.0,,,71.0,,,71.0
BNDX,BNDX,2.0,10,bearish,0.6,-0.03,-0.32,-2.03,-0.28,-0.04,-2.0,-0.41,-0.01,,,48.0,,,48.0,,,48.0
BNO,BNO,3.8,10,bullish,-8.22,-6.88,10.29,43.23,69.83,2.0,2.0,0.93,-1.48,,,53.0,,,53.0,,,53.0
BOTZ,BOTZ,3.4,10,bullish,2.05,-1.61,-5.54,-12.1,-6.21,-0.95,-1.92,-1.22,-0.52,,,38.0,,,38.0,,,38.0
BUZZ,BUZZ,3.0,10,bullish,0.94,-2.82,-4.95,-2.16,-12.07,-1.12,-0.5,-0.98,-0.74,,,30.0,,,30.0,,,30.0
BWX,BWX,2.0,10,bullish,0.62,0.39,-1.01,-4.07,-1.63,-0.87,-2.0,-0.69,0.32,,,69.0,,,69.0,,,69.0
BX,BX,4.1,10,bullish,-1.38,-4.07,1.55,-6.44,-30.11,-1.4,-0.41,0.34,-0.73,,,71.0,,,71.0,,,71.0
CCNR,CCNR,0.0,10,,3.73,1.7,0.48,-1.57,20.71,1.1,-1.17,-0.38,0.25,,,,,,,,,
CEF,CEF,0.0,10,bearish,4.26,-5.35,-14.22,-14.55,0.15,-1.67,-2.0,-2.0,-1.3,,,100.0,,,100.0,,,100.0
CG,CG,3.9,10,bullish,0.72,-0.52,0.83,-6.72,-23.04,-1.09,-0.61,0.01,-0.15,,,49.0,,,49.0,,,49.0
CGDG,CGDG,3.2,10,bullish,2.16,0.35,-1.5,-5.21,-0.18,-1.42,-2.0,-0.92,0.05,,,4.0,,,4.0,,,4.0
CGDV,Dividend Grw,3.4,10,bullish,1.62,0.12,-3.05,-5.49,-1.75,-1.12,-1.86,-1.45,-0.12,,,22.0,,,22.0,,,22.0
CGGE,CGGE,0.0,10,,1.84,-0.69,-3.1,-6.46,-3.04,-1.61,-2.0,-1.38,-0.47,,,,,,,,,
CGGO,CGGO,3.0,10,bullish,1.47,-1.63,-3.94,-7.06,-2.78,-1.19,-2.0,-1.52,-0.83,,,22.0,,,22.0,,,22.0
