symbol,current_price,return_1m,return_3m,return_12m,sortino_1m,sortino_3m,current_slope,slope_trend,slope_acceleration,status,is_accelerating,is_decelerating,trajectory,volatility_ratio,has_divergence,divergence_type,divergence_strength,days_to_peak,days_to_nadir,signal,confidence
METV,16.59,-8.443708609271528,-13.996889580093308,13.31967213114753,-5.032768372267514,-3.039610604611894,-0.09142247596970184,-0.10141884486141393,-0.002492411880537042,Stable,False,False,V-shaped,1.017783722589882,False,,0.0,,62.0,SELL,85
MCO,466.46,-9.523624796337959,-4.9553771547332754,-7.437393340477049,-2.7486993385244944,-0.6508690979312028,-0.04497887462273099,-0.15119918704409888,-0.08373877456952632,Decelerating,False,True,V-shaped,1.3459929442106837,False,,0.0,,82.0,SELL,85
MDY,652.85,4.028235894003851,7.823544956067918,15.385295157299407,4.621241532352191,4.037553118073919,-0.014748875609484182,0.05662390985628111,0.007660257021443837,Stable,False,False,V-shaped,1.4052253118185887,False,,0.0,52.0,,HOLD,50
MET,72.49,-8.100912778904668,-5.316091954022994,-15.885356231144133,-3.136823643157662,-1.0299027571163561,-0.08170914817294216,-0.004470644553237889,0.022124919418184882,Stable,False,False,V-shaped,1.4832909975306425,False,,0.0,,66.0,SELL,85
MGNR,53.9,10.044916292364237,24.079189686924508,80.99395567494963,4.157778884399116,4.7085984741671485,0.08206136361347754,0.10352666717241489,0.023845865145921092,Stable,False,False,V-shaped,1.0908602072687126,False,,0.0,32.0,,HOLD,50
MDT,97.44,-5.361305361305357,-7.490743377955001,5.89002390784612,-4.742354733703251,-2.742574838947128,-0.04157532565881771,-0.013476748650305934,-0.025877189910301683,Stable,False,False,V-shaped,1.259967611652831,False,,0.0,,84.0,SELL,85
MFC,34.655,-9.065861978483337,-1.5762567452428322,11.21630295250322,-5.084460989742933,-0.3746652966608923,-0.16514276739627087,-0.08692943123741145,-0.05122350609234323,Decelerating,False,True,V-shaped,1.2946282974097496,False,,0.0,,45.0,SELL,85
MGK,386.21,-4.839226315141076,-6.782361034008355,14.128250591016545,-6.000746559420047,-2.5117594625566535,-0.12199140574910464,-0.09826221819788736,-0.008778608357212206,Stable,False,False,V-shaped,0.922589503949716,False,,0.0,,54.0,SELL,85
MISL,50.595,3.402820355610059,24.18998527245948,67.58860549850942,2.834511835337469,7.486451498581835,0.0609760367463539,0.06567880253439427,0.013317423400931535,Stable,False,False,V-shaped,1.2415399662870992,False,,0.0,37.0,,HOLD,50
MFG,8.615,-0.17381228273465332,21.338028169014088,52.74822695035461,-0.0893437336597853,4.34433219188129,-0.10146758976169076,0.18190709167826835,-0.006807865279124231,Stable,False,False,V-shaped,1.1193218092275006,False,,0.0,30.0,,HOLD,50
